Country Name,Country Code,Year,GDP per capita,Unemployment,Literacy,Health expenditure
Kuwait,KWT,2017,29258.289635943,2.198,0.98462,1361.48278809
Malaysia,MYS,2017,9979.70475684195,3.41,0.946,370.71844482
Mexico,MEX,2017,9434.37817948243,3.42,0.9113,514.88970947
Mozambique,MOZ,2017,462.699970143116,3.453,0.60323,36.26086807
Pakistan,PAK,2017,1567.64061969895,3.913,0.64124,43.41279855
Peru,PER,2017,6676.3077877014,3.69,0.88207,333.11575317
Senegal,SEN,2017,1385.19921458889,4.08,0.70064,57.67406845
South Africa,ZAF,2017,6734.47515312493,23.99,0.84708,536.77722168
Sri Lanka,LKA,2017,4388.20190753404,4.05,0.96974,146.1681366
Uruguay,URY,2017,18995.3970195554,7.89,0.9894,1655.83239746
Bangladesh,BGD,2018,1963.41270740562,4.38,0.82361,44.74491119
Brazil,BRA,2018,9121.02009249958,12.46,0.86948,863.28173828
Colombia,COL,2018,6782.0379203319,9.11,0.91521,517.15844727
Honduras,HND,2018,2457.68601233921,5.62,0.85944,177.64666748
Indonesia,IDN,2018,3902.66167542693,4.39,0.95629,111.91187286
Kuwait,KWT,2018,32012.1352035471,2.158,0.98352,1660.9864502
Malaysia,MYS,2018,11073.9785943006,3.3,0.95207,416.32000732
Mali,MLI,2018,856.35659593664,1.62,0.4221,31.96352005
Mexico,MEX,2018,9857.00748742213,3.27,0.9202,530.64788818
Panama,PAN,2018,16156.0742942819,5.218,0.89506,1228.07336426
Paraguay,PRY,2018,6242.96150239538,6.22,0.94437,421.08627319
Peru,PER,2018,6912.10462268352,3.49,0.88472,363.42483521
Rwanda,RWA,2018,768.964130260141,12.1,0.80236,51.54394531
Spain,ESP,2018,30379.7211126417,15.25,0.99352,2741.39794922
Sri Lanka,LKA,2018,4360.58474164383,4.32,0.97153,159.4646759
Thailand,THA,2018,7124.55886705161,0.77,0.96033,275.67111206
Uruguay,URY,2018,19026.04961089,8.34,0.99011,1697.01452637
Uzbekistan,UZB,2018,1604.25864157357,5.856,0.99991,82.33687592
Bangladesh,BGD,2019,2122.0783861524,4.382,0.83202,47.66782379
