Country Name,Country Code,Year,GDP per capita,Unemployment,Literacy,Health expenditure
Sri Lanka,LKA,2006,1423.19062298397,6.5,0.96895,64.823349
Tonga,TON,2006,2751.96001692789,1.09,1.00534,149.31607056
Uganda,UGA,2006,346.768462407263,2.276,0.78165,31.62604523
Uruguay,URY,2006,5942.1266667126,10.84,0.9873,495.71600342
Azerbaijan,AZE,2007,3851.33101236931,6.33,0.9954,74.08601379
Bolivia,BOL,2007,1351.03515410788,2.643,0.83362,63.45651245
Brazil,BRA,2007,7323.19034003928,9.28,0.83012,600.63568115
Burkina Faso,BFA,2007,516.75032795654,3.3,0.30501,27.04532623
Cameroon,CMR,2007,1311.00296320709,3.06,0.66212,48.61966705
Colombia,COL,2007,4762.08297292255,10.25,0.88673,309.03665161
Dominican Republic,DOM,2007,4676.07911069651,5.16,0.87606,191.22145081
Ecuador,ECU,2007,3579.03224391806,3.14,0.87131,191.11447144
El Salvador,SLV,2007,2814.58988893523,6.41,0.80273,238.63465881
Ethiopia,ETH,2007,240.347971955032,2.436,0.40367,11.78915215
Greece,GRC,2007,28863.9732885018,8.4,0.90104,2426.75952148
Honduras,HND,2007,1559.88604406996,3.21,0.82886,126.1158905
Kuwait,KWT,2007,45729.8060441175,1.5,0.99741,881.10369873
Mexico,MEX,2007,9719.9278639964,3.63,0.8767,560.4942627
Moldova,MDA,2007,1531.21618929808,5.07,0.98778,135.44366455
Pakistan,PAK,2007,837.631537927295,0.4,0.59171,26.51110383
Paraguay,PRY,2007,3194.26298162817,4.71,0.95545,160.36560059
Peru,PER,2007,3572.36358879114,4.08,0.82196,158.16543579
Spain,ESP,2007,32591.3503065871,8.23,0.98689,2606.27783203
Tunisia,TUN,2007,3678.06152258903,12.36,0.75607,199.6681366
Uruguay,URY,2007,7149.37463386796,9.4,0.98632,572.52435303
Albania,ALB,2008,4370.53971115737,13.06,0.96574,240.44338989
Algeria,DZA,2008,4946.56401720759,11.33,0.79677,207.84881592
Bolivia,BOL,2008,1687.57856734657,2.6,0.83337,77.74305725
Brazil,BRA,2008,8801.75947547502,8.27,0.8271,705.13397217
Burundi,BDI,2008,194.710634589705,1.63,0.64604,17.98236084
Cambodia,KHM,2008,742.397972379419,0.82,0.82404,49.00638199
Chile,CHL,2008,10783.1708210632,9.29,0.94944,726.73669434
Colombia,COL,2008,5534.68944688199,10.52,0.88827,378.18411255
Ecuador,ECU,2008,4260.43318396471,3.92,0.88172,229.09944153
El Salvador,SLV,2008,2964.172140237,5.88,0.83042,251.8334198
Indonesia,IDN,2008,2144.38954419985,7.21,0.93282,59.79582214
"Iran, Islamic Rep.",IRN,2008,5623.91168097394,10.63,0.81856,297.50875854
Mexico,MEX,2008,10119.8210567984,3.87,0.87477,576.71539307
Morocco,MAR,2008,3180.17065429688,9.57,0.53991,153.10005188
Oman,OMN,2008,22974.2773504319,4.14,0.90119,462.29165649
Pakistan,PAK,2008,914.731489303734,0.42,0.65056,24.80974933
Paraguay,PRY,2008,4360.42910071309,4.42,0.91695,219.66795349
Spain,ESP,2008,35510.7222312701,11.25,0.9866,2995.18603516
Sri Lanka,LKA,2008,2007.02666020999,5.22,0.96911,91.52586365
Sudan,SDN,2008,1585.58251953125,14.8,0.82688,92.22005463
Tunisia,TUN,2008,4200.17378015743,12.44,0.75585,227.52876282
Uruguay,URY,2008,9328.06585662206,8.03,0.98797,803.44226074
Azerbaijan,AZE,2009,4950.39743713656,5.74,1.00042,126.94858551
Belarus,BLR,2009,5352.48959072155,6.1,0.99106,281.03240967
Bolivia,BOL,2009,1725.14628617645,2.97,0.86243,89.26693726
Brazil,BRA,2009,8569.90180523381,9.42,0.83397,719.42651367
Cambodia,KHM,2009,734.815118591223,0.58,0.81361,55.72327423
Chile,CHL,2009,10182.8605646819,11.31,0.94569,738.284729
Colombia,COL,2009,5245.9516649172,11.32,0.89576,383.43283081
Ecuador,ECU,2009,4240.70259271564,4.61,0.88083,241.67927551
El Salvador,SLV,2009,2889.68588721937,7.33,0.82006,255.38142395
Greece,GRC,2009,29828.7560245271,9.62,0.91542,2809.05957031
Indonesia,IDN,2009,2239.09526528198,6.11,0.93324,62.98189545
Kazakhstan,KAZ,2009,7165.22479413309,6.55,0.99753,245.9894104
Kyrgyz Republic,KGZ,2009,871.224220118553,2.788,0.99313,59.76173019
Mexico,MEX,2009,8104.92257319862,5.36,0.88605,496.81427002
Moldova,MDA,2009,1898.43968295549,6.4,0.99194,208.53004456
Morocco,MAR,2009,3118.1416015625,8.96,0.55539,165.44444275
Mozambique,MOZ,2009,531.026967149674,3.19,0.53417,27.63427162
Pakistan,PAK,2009,884.44101417044,0.54,0.60841,23.664251
Paraguay,PRY,2009,3920.18607347104,5.46,0.92406,216.58901978
Senegal,SEN,2009,1323.9712249327,10.194,0.47411,50.8613205
South Africa,ZAF,2009,6444.18672009771,20.51,0.90017,492.94265747
Spain,ESP,2009,32169.5028548583,17.86,0.98777,2937.71826172
Togo,TGO,2009,717.677304981008,2.875,0.59821,29.0416832
Uruguay,URY,2009,9780.73947340076,7.74,1.01174,817.64227295
Vietnam,VNM,2009,1225.84500946092,1.74,0.94889,64.89073181
Azerbaijan,AZE,2010,5843.5337683582,5.63,1.00037,142.61262512
Brazil,BRA,2010,11249.2937410718,8.034,0.82854,893.77508545
Cameroon,CMR,2010,1383.81386416854,4.11,0.63637,49.50485611
Chile,CHL,2010,12767.7820406263,8.41,0.94749,870.70959473
