Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Guyana,1980,25.6,11.6,20.799999,2.7,51802,6206,45596,775.1459824,,,
Haiti,1980,11,10,15.5,4.9000001,335472,84518,250953,245.06453,,,
Honduras,1980,22.1,16,26.6,5.4000001,307875,52459,255416,1050.336302,,,
Hungary,1980,26.1,33.5,42.200001,25.5,2796154,1118198,1677955,,,,
Iceland,1980,26.5,37,39.799999,34.200001,61226,28234,32992,14821.68637,,,
India,1980,11.6,17.6,31.4,2.5999999,74536824,5338201,69198624,267.3905787,,,
Indonesia,1980,8.8999996,27.5,52.5,3,23578866,1308195,22270669,489.1601963,,,
Iran,1980,25.700001,12.6,21.799999,2.7,2749158,287061,2462097,,,,
Iraq,1980,21.1,17.799999,33.099998,2.0999999,1295012,74983,1220029,3850.258497,,,
Ireland,1980,18.5,34,37.400002,30.6,808287,365523,442764,6372.437775,,,
Israel,1980,21.200001,32.900002,38.900002,27.1,824357,344432,479924,,,,
Italy,1980,20.700001,31.700001,43.900002,20.5,13851670,4683180,9168490,8456.918974,,,
Jamaica,1980,17.700001,15,24.1,6.4000001,190595,41742,148852,1254.657766,,,
Japan,1980,23.200001,36.700001,61.900002,13,32604675,5945829,26658847,9463.352464,,,
Jordan,1980,26.6,29.200001,47.099998,9.6999998,340082,53769,286313,1763.7418,,,
Kazakhstan,1980,24,19.799999,27,13.4,1942387,697441,1244945,,,,
Kenya,1980,11.5,11.1,20.6,1.7,902917,71563,831354,448.8329942,,,
Kiribati,1980,8.5,47.099998,61.5,33.5,15207,5557,9650,692.7713836,,,
Kuwait,1980,33.900002,32.400002,50,4.0999999,266881,12977,253904,19170.8946,,,
Kyrgyzstan,1980,25.6,21,42.400002,1.8,478866,21458,457408,,,,
Laos,1980,17,34.099998,56.700001,12.5,616080,115361,500720,,,,
Latvia,1980,17.9,28.200001,43.700001,15.6,562648,172552,390096,,,,
Lebanon,1980,25,36,44.700001,27.700001,571915,225720,346195,,,,
Lesotho,1980,27.299999,20.700001,44.900002,1.3,150329,5259,145070,306.5647979,,,
Liberia,1980,11.3,7.8000002,14.5,1.2,81162,6301,74861,,,,
Libya,1980,52.299999,16.700001,29.200001,2.0999999,276795,16278,260518,,,,
Lithuania,1980,13.8,20.9,35.599998,8.3000002,549164,118480,430684,,,,
Luxembourg,1980,26.6,32.599998,39,26.5,96196,40492,55703,16531.1149,,,
